run,execution_id,epoch,mAP50_95,mAP50,train_loss
seed42_original,exec_4088755cafc6,1,0.043873213958774256,0.12344725085391893,22.669126872237914
seed42_original,exec_4088755cafc6,2,0.024780425228598604,0.08672026354293343,21.219440441199865
seed42_original,exec_4088755cafc6,3,0.07089996445997432,0.19197225297867193,20.33015776007828
seed42_original,exec_4088755cafc6,4,0.0641557412913164,0.16827901137937226,19.741506682672217
seed42_original,exec_4088755cafc6,5,0.06093702722362189,0.1565766011334157,19.298575689265082
seed42_original,exec_4088755cafc6,6,0.05513084117831684,0.14336573632477356,19.101723219496275
seed42_original,exec_4088755cafc6,7,0.04874723244692796,0.1333592119239879,18.84198177118119
seed42_original,exec_4088755cafc6,8,0.05075879993671871,0.1332112168073698,18.63636623249501
seed42_original,exec_4088755cafc6,9,0.05420989331110171,0.14060620359124215,18.398035939876245
seed42_original,exec_4088755cafc6,10,0.05970148164132395,0.14866079799773346,18.320079854358994
seed42_original,exec_4088755cafc6,11,0.05721529910741394,0.141018027788223,18.174557844345596
seed42_original,exec_4088755cafc6,12,0.05999880564274642,0.1396179469365501,17.996094554255983
seed42_original,exec_4088755cafc6,13,0.0643333030363744,0.1472472130656428,17.797419805690147
seed42_original,exec_4088755cafc6,14,0.06639242371603081,0.1549028934309224,17.683610328955098
seed42_original,exec_4088755cafc6,15,0.05359409261504311,0.13894682214042886,17.571654767219915
seed42_original,exec_4088755cafc6,16,0.05517649829929882,0.14678955475988736,17.445899324940996
seed42_original,exec_4088755cafc6,17,0.056796236025940035,0.1469058375400671,17.41171999388766
seed42_original,exec_4088755cafc6,18,0.07395294661293245,0.17194281017703203,17.24084077743518
seed42_original,exec_4088755cafc6,19,0.08334684868325494,0.18967608702891092,17.094577473362328
seed42_original,exec_4088755cafc6,20,0.08218029641794485,0.1924597410672257,17.020683148092097
seed43_original,exec_a6f6dff68971,1,0.028199488769758755,0.08732011668840328,22.894661255482117
seed43_original,exec_a6f6dff68971,2,0.034515461878914536,0.12200076923121661,21.359179575602354
seed43_original,exec_a6f6dff68971,3,0.10817447410080037,0.2261890568007816,20.458703235965068
seed43_original,exec_a6f6dff68971,4,0.09012611611448759,0.2062283470949032,19.82647861411688
