epoch,rep1_train_loss,rep2_train_loss,absdiff_train_loss,rep1_loss_vfl,rep2_loss_vfl,absdiff_loss_vfl,rep1_loss_bbox,rep2_loss_bbox,absdiff_loss_bbox,rep1_loss_giou,rep2_loss_giou,absdiff_loss_giou,rep1_mAP50_95,rep2_mAP50_95,absdiff_mAP50_95,rep1_mAP50,rep2_mAP50,absdiff_mAP50,rep1_AP75,rep2_AP75,absdiff_AP75,rep1_APS,rep2_APS,absdiff_APS,rep1_lr,rep2_lr,absdiff_lr
1,22.480644521958265,22.659408345133897,0.17876382317563255,0.5412705098423743,0.5717145532948121,0.030444043452437786,0.21818850496580286,0.22079488792471955,0.0026063829589166865,1.4618758448974682,1.460940959658779,0.0009348852386892315,0.04509257280831722,0.025586654989859965,0.019505917818457258,0.1035927209699065,0.07111279781095449,0.03247992315895201,0.029217203623776496,0.009622492852839368,0.019594710770937128,0.06399875639354892,0.030446062102713892,0.03355269429083503,8.642065573770436e-05,8.642065573770436e-05,0.0
2,20.670344131945217,20.772370663221768,0.10202653127655026,0.5716215283204138,0.587363704489457,0.015742176169043165,0.09147990649525341,0.09391920853131375,0.0024393020360603396,1.0001885830378923,1.0173938915703467,0.01720530853245439,0.05988165227161271,0.035056450151692196,0.024825202119920516,0.16878654531469328,0.12441944604100276,0.04436709927369052,0.02179957852349925,0.009086337320127206,0.012713241203372045,0.07444747167180243,0.03611330465146243,0.03833416702034,9.99999999999979e-05,9.99999999999979e-05,0.0
3,19.648622929838503,19.604086582633016,0.04453634720548649,0.5297708993922244,0.5394288493329135,0.009657949940689026,0.06420070393306147,0.05909149566451546,0.005109208268546016,0.8367396837375203,0.8269564366324352,0.009783247105085047,0.019987520933981474,0.048351783195514454,0.02836426226153298,0.0618349787145078,0.1383901641387613,0.07655518542425349,0.009591642904498791,0.019902616231355075,0.010310973326856284,0.024780562167092082,0.04932614557788346,0.024545583410791376,9.99999999999979e-05,9.99999999999979e-05,0.0
4,18.922114442585574,18.9749876398347,0.0528731972491272,0.5215995963705069,0.5295010197671117,0.007901423396604823,0.05232128403022315,0.04893243542816388,0.0033888486020592704,0.7542265490674581,0.7374579218160259,0.016768627251432244,0.020971858005860444,0.039730777371651954,0.01875891936579151,0.0678325635030239,0.13576457374417214,0.06793201024114824,0.004824919753791718,0.008152555367382595,0.0033276356135908776,0.02228442983362584,0.04231606945815233,0.020031639624526493,9.99999999999979e-05,9.99999999999979e-05,0.0
5,18.39427947168443,18.468001391496916,0.07372191981248477,0.5097731525078784,0.5200573298931717,0.010284177385293303,0.04608625476935604,0.04181336008490679,0.004272894684449247,0.6947346400612039,0.6732102676248941,0.02152437243630978,0.026090158730018142,0.044111219640066826,0.018021060910048684,0.0826757704262863,0.13597831931449464,0.053302548888208345,0.010366077795932377,0.013994275519331493,0.0036281977233991163,0.034593810666678215,0.04702807594897083,0.012434265282292613,9.99999999999979e-05,9.99999999999979e-05,0.0
6,17.982556815034503,18.242665022104227,0.2601082070697238,0.49508834563856724,0.4988123409644912,0.0037239953259239345,0.03997038806294972,0.03844160091976732,0.0015287871431824002,0.6408696165013184,0.6374527437276527,0.003416872773665647,0.022830266573542164,0.024784117743347676,0.001953851169805513,0.07435824207541906,0.08133073455399867,0.006972492478579603,0.008950849907329545,0.006137654415575606,0.002813195491753939,0.027329465342032504,0.025960259119076415,0.001369206222956089,9.99999999999979e-05,9.99999999999979e-05,0.0
7,17.728036461647662,17.966508381868728,0.2384719202210661,0.49000824466758425,0.4861757027631553,0.0038325419044289433,0.03756123174037886,0.03500333290745611,0.0025578988329227545,0.6127829756323105,0.5975899770855904,0.015192998546720182,0.022891170536180325,0.03935158986240358,0.016460419326223254,0.06918269495250465,0.1159066333618631,0.046723938409358456,0.0103074295408055,0.014816980444773942,0.004509550903968443,0.027706633307486784,0.041335285439826765,0.01362865213233998,9.99999999999979e-05,9.99999999999979e-05,0.0
8,17.360194313008073,17.59171822115555,0.23152390814747648,0.4722945673892499,0.4739865147427225,0.0016919473534726115,0.033798052013795724,0.0325075966115186,0.0012904554022771242,0.5708056201456023,0.5603539154788509,0.010451704666751382,0.017315375785579096,0.05029766160836068,0.032982285822781586,0.05296856804499723,0.15052956636222095,0.09756099831722373,0.008428345375187302,0.017865023861409673,0.009436678486222372,0.02105770830582665,0.05250479400412615,0.0314470856982995,9.99999999999979e-05,9.99999999999979e-05,0.0
9,17.117882150820826,17.248055376602043,0.13017322578121693,0.4677868320186162,0.4676333577975816,0.00015347422103462183,0.03185222917974321,0.030086229705440053,0.0017659994743031565,0.5471553447915882,0.5351814491053423,0.011973895686245961,0.016162910343670834,0.039274592791537444,0.02311168244786661,0.0535512522284438,0.12356365963012056,0.07001240740167676,0.005428094575141435,0.019401853523697776,0.01397375894855634,0.01880756349940988,0.04234735291715744,0.023539789417747557,9.99999999999979e-05,9.99999999999979e-05,0.0
10,16.787702739834227,16.859057849518386,0.07135510968415915,0.4523459349973057,0.45193246397006703,0.00041347102723865437,0.029980944098314383,0.0279319899741947,0.002048954124119682,0.5220485668364769,0.5082305922452869,0.013817974591190052,0.018794584909528154,0.03673351159182869,0.017938926682300533,0.06357059924719538,0.10649640403106594,0.042925804783870564,0.006475286111240455,0.019458248493479574,0.01298296238223912,0.02172061706102691,0.03991485935445511,0.018194242293428198,9.99999999999979e-05,9.99999999999979e-05,0.0
