epoch,rep1_train_loss,rep2_train_loss,absdiff_train_loss,rep1_loss_vfl,rep2_loss_vfl,absdiff_loss_vfl,rep1_loss_bbox,rep2_loss_bbox,absdiff_loss_bbox,rep1_loss_giou,rep2_loss_giou,absdiff_loss_giou,rep1_mAP50_95,rep2_mAP50_95,absdiff_mAP50_95,rep1_mAP50,rep2_mAP50,absdiff_mAP50,rep1_AP75,rep2_AP75,absdiff_AP75,rep1_APS,rep2_APS,absdiff_APS,rep1_lr,rep2_lr,absdiff_lr
11,16.60158568369557,16.688087009334215,0.08650132563864332,0.4480908996473781,0.4465088399501796,0.0015820596971984902,0.028729225173490785,0.026721775188757096,0.0020074499847336884,0.4992449244759122,0.48885517923232635,0.010389745243585824,0.021167388920917206,0.03450902320635237,0.013341634285435167,0.0691556145311797,0.10181054655424707,0.032654932023067365,0.007480721705981028,0.015267771834113519,0.007787050128132491,0.024066929602623775,0.03802802062250404,0.013961091019880262,9.99999999999979e-05,9.99999999999979e-05,0.0
12,16.312113934680863,16.539447171326543,0.22733323664568061,0.4354884870290057,0.4405859886460653,0.005097501617059574,0.026678018459968797,0.025349916901205326,0.0013281015587634712,0.47814826741814614,0.4733802705779265,0.004767996840219668,0.02095018822316586,0.03548098851004019,0.01453080028687433,0.06771848227914233,0.10511354744981403,0.037395065170671704,0.007250192574251945,0.016251361520682645,0.0090011689464307,0.02371706335728875,0.0384350579050134,0.014717994547724648,9.99999999999979e-05,9.99999999999979e-05,0.0
13,15.969714683513196,16.01499089159967,0.0452762080864737,0.4204269449463803,0.4225825840380114,0.002155639091631134,0.025798283400054755,0.024293170903448034,0.0015051124966067204,0.4657151355016264,0.45178464436954485,0.013930491132081557,0.02063635227141868,0.03638630268027827,0.015749950408859587,0.06571278663405986,0.10659032295851703,0.040877536324457175,0.008209792686909995,0.016732983001929342,0.008523190315019347,0.023825176946824032,0.0391715805972686,0.015346403650444568,9.99999999999979e-05,9.99999999999979e-05,0.0
14,15.881991148198054,15.820113435497538,0.06187771270051634,0.4098410396193502,0.420078066060868,0.010237026441517805,0.024208966435233507,0.023116444903196857,0.00109252153203665,0.446749665926063,0.43636920590951145,0.010380460016551574,0.023065192163264883,0.03558621622118274,0.01252102405791786,0.07071413321100307,0.10293709751202616,0.03222296430102309,0.010697237712932609,0.0164792046444724,0.005781966931539791,0.027278269329352112,0.03843950573959155,0.011161236410239434,9.99999999999979e-05,9.99999999999979e-05,0.0
15,15.722031306215342,15.69758199032681,0.02444931588853194,0.4057424546172292,0.4078949151660929,0.0021524605488636994,0.023636773111339392,0.02225206249108528,0.0013847106202541128,0.4319552759940181,0.42336575401529586,0.008589521978722259,0.023675954454036953,0.034961666309612234,0.011285711855575281,0.07231970746476338,0.09948115717254846,0.027161449707785085,0.010364171740305484,0.01751445322625888,0.007150281485953395,0.02743444418867037,0.03793783709793794,0.010503392909267568,9.99999999999979e-05,9.99999999999979e-05,0.0
16,15.594494008097309,15.473924721874134,0.12056928622317464,0.4013755444324203,0.3995435730874248,0.00183197134499552,0.022107588910227998,0.021841402647792885,0.0002661862624351134,0.417949348199563,0.4139433591743636,0.004005989025199386,0.023258921669683137,0.03605434027664525,0.012795418606962115,0.06972060968478377,0.10239134951795353,0.03267073983316976,0.009992288369249385,0.01830529662888661,0.008313008259637227,0.026470175605588765,0.03901025472889729,0.012540079123308526,9.99999999999979e-05,9.99999999999979e-05,0.0
17,15.326042357967566,15.363628739351661,0.03758638138409509,0.39405566538931036,0.3920529280253782,0.002002737363932139,0.021680185373088783,0.02071370702603313,0.0009664783470556548,0.40810351511819765,0.402218117031569,0.005885398086628635,0.023915277892425,0.03778456729509949,0.013869289402674491,0.07100215482242656,0.10626756632367743,0.03526541150125087,0.009556991239498568,0.020261562394403392,0.010704571154904825,0.027183208244031205,0.041049374972159734,0.013866166728128529,9.99999999999979e-05,9.99999999999979e-05,0.0
18,15.173945629510193,15.099413755755933,0.0745318737542604,0.3828715117147396,0.3796418041431839,0.0032297075715557177,0.021059007213140527,0.019751117301626448,0.001307889911514079,0.4005896579637065,0.3864053415918285,0.014184316371878003,0.02354613152664185,0.03829139157371605,0.014745260047074198,0.0691438452811005,0.1087142381493282,0.039570392868227694,0.010170827830953159,0.020148581627726557,0.009977753796773398,0.02707729418176392,0.04170574374274241,0.014628449560978491,9.99999999999979e-05,9.99999999999979e-05,0.0
19,14.970063434603313,15.060559786573215,0.09049635196990202,0.37540825178033604,0.38445288709758896,0.009044635317252914,0.02056854081497899,0.01950623487259765,0.0010623059423813391,0.3852244116121628,0.3808292916645118,0.004395119947651016,0.02314008898399603,0.036730048258819696,0.013589959274823666,0.06670260739861732,0.10245495551739855,0.03575234811878124,0.010724260929674639,0.01976198959749438,0.009037728667819742,0.026789665573856297,0.0394013193414084,0.012611653767552102,9.99999999999979e-05,9.99999999999979e-05,0.0
20,14.843847933403964,14.768389282304325,0.07545865109963934,0.3693028380223493,0.3713021293023884,0.0019992912800390616,0.019591484575842817,0.018966963884924522,0.0006245206909182947,0.3766599498607748,0.3690783224592769,0.00758162740149787,0.024335679403732526,0.03418924149075061,0.009853562087018083,0.07012170807832611,0.09386025973220992,0.023738551653883805,0.011485970173134222,0.019038149693695758,0.007552179520561536,0.02847818250539208,0.036418966802335924,0.007940784296943844,9.99999999999979e-05,9.99999999999979e-05,0.0
