epoch,s42_train_loss,s42_loss_vfl,s42_loss_bbox,s42_loss_giou,s42_lr,s42_mAP50_95,s42_mAP50,s42_AR100,s43_train_loss,s43_loss_vfl,s43_loss_bbox,s43_loss_giou,s43_lr,s43_mAP50_95,s43_mAP50,s43_AR100,s44_train_loss,s44_loss_vfl,s44_loss_bbox,s44_loss_giou,s44_lr,s44_mAP50_95,s44_mAP50,s44_AR100
1,22.669126872237914,0.5579774330222541,0.2208874108849979,1.4777721685138556,8.642065573770436e-05,0.043873213958774256,0.12344725085391893,0.2981976278492602,22.894661255482117,0.5516360788397451,0.24499689512402634,1.5168786443810645,8.642065573770436e-05,0.028199488769758755,0.08732011668840328,0.24332842179234895,22.63533351543497,0.5609811287760084,0.2181994258533003,1.4760202935810298,8.642065573770436e-05,0.012571828310514224,0.03736941507892362,0.24040743685208435
2,21.219440441199865,0.595002217501239,0.11507732556837667,1.1085117555218316,9.99999999999979e-05,0.024780425228598604,0.08672026354293343,0.19949231812524668,21.359179575602354,0.5806678248233482,0.12405655198562585,1.135973935757504,9.99999999999979e-05,0.034515461878914536,0.12200076923121661,0.28412062108805136,21.207987650610058,0.5967423784276826,0.11170027708186885,1.1045391402283653,9.99999999999979e-05,0.03329204334718606,0.1025503333008672,0.227051774355426
3,20.33015776007828,0.5502163008913967,0.08156964708720156,0.95921914640183,9.99999999999979e-05,0.07089996445997432,0.19197225297867193,0.2751988069216019,20.458703235965068,0.5645060388116888,0.08250312530461068,0.9531834209388722,9.99999999999979e-05,0.10817447410080037,0.2261890568007816,0.32912486994210877,20.367840925347927,0.5490251860331968,0.08180400684547147,0.9642388473768704,9.99999999999979e-05,0.026974371484831824,0.07713225753565627,0.16018836564567035
4,19.741506682672217,0.5428940401702631,0.06696802793437096,0.868242458771161,9.99999999999979e-05,0.0641557412913164,0.16827901137937226,0.2694277056910799,19.82647861411688,0.5540820137399142,0.06909867868010626,0.8623683894999692,9.99999999999979e-05,0.09012611611448759,0.2062283470949032,0.3229914360160268,19.80055823475924,0.5494682687227843,0.06616905397567592,0.8676781052937274,9.99999999999979e-05,0.019799903404612636,0.06300206534312391,0.1841918169985517
5,19.298575689265082,0.5421415416269354,0.05895212078645133,0.8061019580058061,9.99999999999979e-05,0.06093702722362189,0.1565766011334157,0.28764384985715397,19.35390316080213,0.5432224014417721,0.0581335969905425,0.8050631553667491,9.99999999999979e-05,0.08085193922301191,0.18671663942787256,0.28859145202122477,19.333431793008664,0.5386234061965526,0.05844697228765186,0.8100350993415697,9.99999999999979e-05,0.023725717114842587,0.06710602670548682,0.17897075276983976
6,19.101723219496275,0.5450799717929193,0.05366477860860486,0.7688179334818991,9.99999999999979e-05,0.05513084117831684,0.14336573632477356,0.2635032233972637,19.11395351922539,0.5401284785869994,0.052783703798418,0.7650825334214122,9.99999999999979e-05,0.08870601043372636,0.2019008064424377,0.2832394140715829,18.996239598380896,0.5317638540528511,0.0543764894792576,0.7760164856422143,9.99999999999979e-05,0.027835860467279393,0.0726547301415257,0.1749728704621357
7,18.84198177118119,0.5320345348347731,0.050522352617661484,0.7423072099197107,9.99999999999979e-05,0.04874723244692796,0.1333592119239879,0.26453384745941516,18.983608561739214,0.527568102404068,0.050500658406402735,0.7472354245478989,9.99999999999979e-05,0.09546510525784696,0.2119701459528543,0.291759928080465,18.900316825101395,0.5322667498406165,0.05149622104573445,0.7552009796347123,9.99999999999979e-05,0.029547373387394233,0.07413197559820979,0.1825456563638067
8,18.63636623249501,0.522066105649771,0.04729948797685608,0.7234677862681327,9.99999999999979e-05,0.05075879993671871,0.1332112168073698,0.27276885900190534,18.709695333372444,0.52219701451682,0.04642661653174077,0.7143390834657221,9.99999999999979e-05,0.0931609400506223,0.20677438282776298,0.29485488674104726,18.64480789730407,0.5342483498359638,0.04667800502200189,0.7159319899609832,9.99999999999979e-05,0.033998818288091544,0.08664630925503494,0.18461851019196027
9,18.398035939876245,0.5141591614061366,0.04478674460955656,0.6974359885672402,9.99999999999979e-05,0.05420989331110171,0.14060620359124215,0.2730687556108344,18.55796422769514,0.5237317732774495,0.045179332699117766,0.699733060101668,9.99999999999979e-05,0.09409640194087661,0.20981911058587235,0.29214628728776165,18.48481582009184,0.5181705421437331,0.04592881572224159,0.7086463024381732,9.99999999999979e-05,0.03870714613617098,0.09688998557197186,0.18875881845481543
10,18.320079854358994,0.5155833035870327,0.04265860059537767,0.6770285000322295,9.99999999999979e-05,0.05970148164132395,0.14866079799773346,0.2724522992404208,18.387580376205957,0.5130570570627848,0.04288438934822633,0.6840607725368822,9.99999999999979e-05,0.08965476625571647,0.20637355872491048,0.2798638754592856,18.358852447039332,0.5152672008087075,0.04329807927648796,0.6793315490331154,9.99999999999979e-05,0.041412551607608046,0.10176034851581876,0.18143971435098832
11,18.174557844345596,0.501432103928321,0.04159049460399753,0.6690741521331782,9.99999999999979e-05,0.05721529910741394,0.141018027788223,0.26863199317830566,18.275143221122484,0.5046102017001376,0.042348136774727395,0.6728404700104657,9.99999999999979e-05,0.09270253166427102,0.21745565657953156,0.27919923931340745,18.2071528169455,0.5078213377728489,0.040633945862248624,0.6692278489551909,9.99999999999979e-05,0.041128428750563495,0.10311777945876459,0.17928591000613958
12,17.996094554255983,0.5044609882792489,0.03955961569604245,0.6481300277299569,9.99999999999979e-05,0.05999880564274642,0.1396179469365501,0.26627814649633375,18.017727663576643,0.4963697859498321,0.03933615916856448,0.6475794728906428,9.99999999999979e-05,0.09702176902160284,0.22730910766346635,0.2769807452029577,18.022316547051513,0.5034916828238899,0.039101568130073976,0.6493452025811529,9.99999999999979e-05,0.04063511344679094,0.10766038046858412,0.17558849509773913
13,17.797419805690147,0.4929855536893417,0.03837881050902149,0.6398810387349845,9.99999999999979e-05,0.0643333030363744,0.1472472130656428,0.26994923693090395,17.92148552282912,0.49632261555051543,0.038718132286388526,0.6417845162985429,9.99999999999979e-05,0.10208260386579743,0.23449960997307484,0.27392958871559275,17.972758232960935,0.5079278547255719,0.03928410514242581,0.6465007522718502,9.99999999999979e-05,0.03998301606672142,0.10889082147456117,0.1706142228415309
14,17.683610328955098,0.4865033012921693,0.037148979167286,0.6310146766526451,9.99999999999979e-05,0.06639242371603081,0.1549028934309224,0.2689757459950637,17.776007156894426,0.4957811395978667,0.03745195413659749,0.6295527797009124,9.99999999999979e-05,0.10155945936739062,0.2247004415935942,0.27506293345943955,17.78858387730914,0.49833396653660006,0.03767850920481638,0.633739523223189,9.99999999999979e-05,0.04057056651601135,0.10937027997434454,0.16037741765684588
15,17.571654767219915,0.48682742991734074,0.035084171797520394,0.6152532776603933,9.99999999999979e-05,0.05359409261504311,0.13894682214042886,0.2607504390090649,17.67767566371648,0.4866779595776334,0.036243933203879516,0.6178351400979881,9.99999999999979e-05,0.09999553231496147,0.22266041314303017,0.2826073901977927,17.639725811163707,0.49118970873577344,0.03617643982482453,0.6191486244278201,9.99999999999979e-05,0.04143016439577045,0.10661741229116238,0.1610340870408647
16,17.445899324940996,0.4798047945147655,0.03533651653239554,0.6096910972657099,9.99999999999979e-05,0.05517649829929882,0.14678955475988736,0.26110014597461,17.59605190656224,0.47612480452803313,0.03526852453672047,0.6120437909182304,9.99999999999979e-05,0.10319333848007754,0.22912199602001132,0.2905865396260149,17.49747989489977,0.48654813896762866,0.03466046458171284,0.6050777363972586,9.99999999999979e-05,0.03509670251242088,0.08489348476508363,0.1522861547362161
17,17.41171999388766,0.47902562852765695,0.034427164938514596,0.5973991899623897,9.99999999999979e-05,0.056796236025940035,0.1469058375400671,0.2485375431981296,17.431305385686336,0.4871247988581006,0.03380943072191312,0.5931703428997368,9.99999999999979e-05,0.08194302717113454,0.19906546456462246,0.2896690850493898,17.37280145662282,0.48203608155901967,0.0343988980792585,0.5990042873256194,9.99999999999979e-05,0.029682331584642972,0.07091279198099892,0.1384895157403041
18,17.24084077743518,0.4777646529869955,0.03300146244522286,0.5853420474327327,9.99999999999979e-05,0.07395294661293245,0.17194281017703203,0.24369261272100676,17.353997701675187,0.48365655401365354,0.03410276645626568,0.592989876801199,9.99999999999979e-05,0.058916243976144346,0.16089594192401532,0.26892443615516926,17.25631351883172,0.4730687167475132,0.033083532609126935,0.5910533048538237,9.99999999999979e-05,0.025960914835066122,0.0690476210631963,0.13310854734949673
19,17.094577473362328,0.47022672572422547,0.032221209774648804,0.5800839086047939,9.99999999999979e-05,0.08334684868325494,0.18967608702891092,0.24261391834879162,17.177734852034618,0.46492269195494107,0.033764281100975194,0.585785639489609,9.99999999999979e-05,0.04405143440830732,0.13082551334247908,0.2608678393057414,17.209221501339,0.47512988848764387,0.03296783608104525,0.5806686688153471,9.99999999999979e-05,0.022497134463818978,0.06758135962141484,0.12152422208874794
20,17.020683148092097,0.47580325395031703,0.03179907298575618,0.5708792829204127,9.99999999999979e-05,0.08218029641794485,0.1924597410672257,0.2424587344027968,17.162201549397793,0.4704608758290609,0.033940497395465445,0.5866189915625776,9.99999999999979e-05,0.037971074226580484,0.11924005794063745,0.2590357343610057,17.02555370071058,0.46288708702462616,0.03192563066767946,0.5776516118784094,9.99999999999979e-05,0.022242537998124878,0.0674223211171498,0.11231805105723512
